Kolom1;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed;Kolom2
129;697.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:12 2024;3,00;
131;698.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:13 2024;3,00;
132;700.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:14 2024;3,00;
135;700.0;23.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:15 2024;3,00;
136;699.0;23.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:16 2024;3,00;
137;698.0;23.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:16 2024;3,00;
138;696.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:17 2024;3,00;
139;693.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:17 2024;3,00;
140;690.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:18 2024;3,00;
141;689.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:18 2024;3,00;
142;688.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:19 2024;3,00;
143;686.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:19 2024;3,00;
144;683.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:20 2024;3,00;
145;680.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:20 2024;3,00;
146;676.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:21 2024;3,00;
147;673.0;23.8;58.0;70.0;Sanseveria;Wed Apr 10 10:04:21 2024;3,00;
148;670.0;23.8;57.0;71.0;Sanseveria;Wed Apr 10 10:04:22 2024;3,00;
149;666.0;23.8;57.0;70.0;Sanseveria;Wed Apr 10 10:04:23 2024;3,00;
150;664.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:23 2024;3,00;
151;660.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:24 2024;3,00;
152;656.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:24 2024;3,00;
153;650.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:25 2024;3,00;
154;644.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:25 2024;3,00;
155;638.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:26 2024;3,00;
156;628.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:26 2024;3,00;
157;622.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:27 2024;3,00;
159;623.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:28 2024;3,00;
160;621.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:28 2024;3,00;
161;618.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:29 2024;3,00;
162;615.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:29 2024;3,00;
163;613.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:30 2024;3,00;
165;609.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:31 2024;3,00;
167;606.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:32 2024;3,00;
168;605.0;25.1;56.0;70.0;Sanseveria;Wed Apr 10 10:04:32 2024;3,00;
169;604.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:33 2024;3,00;
170;603.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:34 2024;3,00;
171;601.0;25.3;56.0;71.0;Sanseveria;Wed Apr 10 10:04:34 2024;3,00;
172;593.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:35 2024;3,00;
173;593.0;25.3;55.0;71.0;Sanseveria;Wed Apr 10 10:04:35 2024;3,00;
174;594.0;25.3;55.0;71.0;Sanseveria;Wed Apr 10 10:04:36 2024;3,00;
175;595.0;25.6;55.0;71.0;Sanseveria;Wed Apr 10 10:04:36 2024;3,00;
176;592.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:37 2024;3,00;
177;588.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:37 2024;3,00;
178;577.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:38 2024;3,00;
179;579.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:38 2024;3,00;
180;574.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:39 2024;3,00;
181;566.0;25.8;54.0;71.0;Sanseveria;Wed Apr 10 10:04:39 2024;3,00;
182;558.0;25.8;54.0;71.0;Sanseveria;Wed Apr 10 10:04:40 2024;3,00;
183;556.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:40 2024;3,00;
184;561.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:41 2024;3,00;
185;572.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:41 2024;3,00;
186;574.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:42 2024;3,00;
188;577.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:43 2024;3,00;
189;578.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:44 2024;3,00;
190;577.0;26.3;54.0;71.0;Sanseveria;Wed Apr 10 10:04:44 2024;3,00;
192;578.0;26.7;54.0;71.0;Sanseveria;Wed Apr 10 10:04:45 2024;3,00;
193;581.0;26.7;54.0;71.0;Sanseveria;Wed Apr 10 10:04:46 2024;3,00;
194;588.0;26.7;53.0;71.0;Sanseveria;Wed Apr 10 10:04:46 2024;3,00;
195;594.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:22 2024;4,00;
196;596.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:23 2024;4,00;
197;597.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:23 2024;4,00;
198;597.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:24 2024;4,00;
202;598.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:26 2024;4,00;
203;599.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:26 2024;4,00;
204;599.0;22.4;47.0;87.0;Sanseveria;Wed Apr 10 10:08:27 2024;4,00;
221;599.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:36 2024;4,00;
223;598.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:37 2024;4,00;
224;579.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:37 2024;4,00;
225;551.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:38 2024;4,00;
226;535.0;22.2;47.0;76.0;Sanseveria;Wed Apr 10 10:08:38 2024;4,00;
227;558.0;22.2;47.0;86.0;Sanseveria;Wed Apr 10 10:08:39 2024;4,00;
228;584.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:39 2024;4,00;
229;587.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:40 2024;4,00;
230;588.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:41 2024;4,00;
232;588.0;22.2;46.0;83.0;Sanseveria;Wed Apr 10 10:08:42 2024;4,00;
233;587.0;22.2;46.0;83.0;Sanseveria;Wed Apr 10 10:08:42 2024;4,00;
234;587.0;22.2;46.0;82.0;Sanseveria;Wed Apr 10 10:08:43 2024;4,00;
235;588.0;22.2;46.0;82.0;Sanseveria;Wed Apr 10 10:08:43 2024;4,00;
236;590.0;21.8;46.0;79.0;Sanseveria;Wed Apr 10 10:08:44 2024;4,00;
237;590.0;21.8;46.0;80.0;Sanseveria;Wed Apr 10 10:08:44 2024;4,00;
238;588.0;21.8;45.0;80.0;Sanseveria;Wed Apr 10 10:08:45 2024;4,00;
240;587.0;21.8;45.0;82.0;Sanseveria;Wed Apr 10 10:08:46 2024;4,00;
241;590.0;21.8;45.0;78.0;Sanseveria;Wed Apr 10 10:08:46 2024;4,00;
242;591.0;21.8;45.0;76.0;Sanseveria;Wed Apr 10 10:08:47 2024;4,00;
244;589.0;21.8;45.0;79.0;Sanseveria;Wed Apr 10 10:08:48 2024;4,00;
245;588.0;21.8;44.0;81.0;Sanseveria;Wed Apr 10 10:08:48 2024;3,90;
247;583.0;21.8;44.0;87.0;Sanseveria;Wed Apr 10 10:08:49 2024;3,90;
248;584.0;21.8;44.0;86.0;Sanseveria;Wed Apr 10 10:08:50 2024;3,90;
249;584.0;21.8;44.0;85.0;Sanseveria;Wed Apr 10 10:08:50 2024;3,90;
250;582.0;21.4;44.0;88.0;Sanseveria;Wed Apr 10 10:08:51 2024;3,90;
251;581.0;21.4;44.0;88.0;Sanseveria;Wed Apr 10 10:08:52 2024;3,90;
253;580.0;21.4;44.0;89.0;Sanseveria;Wed Apr 10 10:08:53 2024;3,90;
254;579.0;21.4;44.0;89.0;Sanseveria;Wed Apr 10 10:08:53 2024;3,90;
255;579.0;21.4;44.0;90.0;Sanseveria;Wed Apr 10 10:08:54 2024;5,00;
256;578.0;21.4;44.0;91.0;Sanseveria;Wed Apr 10 10:08:54 2024;5,00;
257;577.0;21.4;44.0;91.0;Sanseveria;Wed Apr 10 10:08:55 2024;5,00;
258;577.0;21.4;44.0;92.0;Sanseveria;Wed Apr 10 10:08:55 2024;5,00;
260;576.0;21.4;43.0;92.0;Sanseveria;Wed Apr 10 10:08:56 2024;5,00;
261;576.0;21.4;43.0;93.0;Sanseveria;Wed Apr 10 10:08:57 2024;5,00;
