;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
70;698.0;23.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:16 2024;3
71;696.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:17 2024;3
72;693.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:17 2024;3
73;690.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:18 2024;3
74;689.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:18 2024;3
75;688.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:19 2024;3
76;686.0;23.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:19 2024;3
77;683.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:20 2024;3
78;680.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:20 2024;3
79;676.0;23.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:21 2024;3
80;673.0;23.8;58.0;70.0;Sanseveria;Wed Apr 10 10:04:21 2024;3
81;670.0;23.8;57.0;71.0;Sanseveria;Wed Apr 10 10:04:22 2024;3
82;666.0;23.8;57.0;70.0;Sanseveria;Wed Apr 10 10:04:23 2024;3
83;664.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:23 2024;3
84;660.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:24 2024;3
85;656.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:24 2024;3
86;650.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:25 2024;3
87;644.0;24.1;57.0;70.0;Sanseveria;Wed Apr 10 10:04:25 2024;3
88;638.0;24.1;57.0;71.0;Sanseveria;Wed Apr 10 10:04:26 2024;3
89;628.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:26 2024;3
90;622.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:27 2024;3
91;623.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:28 2024;3
92;621.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:28 2024;3
93;618.0;24.5;57.0;70.0;Sanseveria;Wed Apr 10 10:04:29 2024;3
94;615.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:29 2024;3
95;613.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:30 2024;3
96;609.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:31 2024;3
97;606.0;24.8;56.0;71.0;Sanseveria;Wed Apr 10 10:04:32 2024;3
98;605.0;25.1;56.0;70.0;Sanseveria;Wed Apr 10 10:04:32 2024;3
99;604.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:33 2024;3
100;603.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:34 2024;3
101;601.0;25.3;56.0;71.0;Sanseveria;Wed Apr 10 10:04:34 2024;3
102;593.0;25.3;56.0;70.0;Sanseveria;Wed Apr 10 10:04:35 2024;3
103;593.0;25.3;55.0;71.0;Sanseveria;Wed Apr 10 10:04:35 2024;3
104;594.0;25.3;55.0;71.0;Sanseveria;Wed Apr 10 10:04:36 2024;3
105;595.0;25.6;55.0;71.0;Sanseveria;Wed Apr 10 10:04:36 2024;3
106;592.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:37 2024;3
107;588.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:37 2024;3
108;577.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:38 2024;3
109;579.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:38 2024;3
110;574.0;25.8;55.0;71.0;Sanseveria;Wed Apr 10 10:04:39 2024;3
111;566.0;25.8;54.0;71.0;Sanseveria;Wed Apr 10 10:04:39 2024;3
112;558.0;25.8;54.0;71.0;Sanseveria;Wed Apr 10 10:04:40 2024;3
113;556.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:40 2024;3
114;561.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:41 2024;3
115;572.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:41 2024;3
116;574.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:42 2024;3
117;577.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:43 2024;3
118;578.0;26.2;54.0;71.0;Sanseveria;Wed Apr 10 10:04:44 2024;3
119;577.0;26.3;54.0;71.0;Sanseveria;Wed Apr 10 10:04:44 2024;3
120;578.0;26.7;54.0;71.0;Sanseveria;Wed Apr 10 10:04:45 2024;3
121;581.0;26.7;54.0;71.0;Sanseveria;Wed Apr 10 10:04:46 2024;3
122;588.0;26.7;53.0;71.0;Sanseveria;Wed Apr 10 10:04:46 2024;3
123;594.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:22 2024;4
124;596.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:23 2024;4
125;597.0;22.6;47.0;88.0;Sanseveria;Wed Apr 10 10:08:23 2024;4
126;597.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:24 2024;4
127;598.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:26 2024;4
128;599.0;22.6;47.0;87.0;Sanseveria;Wed Apr 10 10:08:26 2024;4
129;599.0;22.4;47.0;87.0;Sanseveria;Wed Apr 10 10:08:27 2024;4
