Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
551.0,15.7,43.0,82.0,Sanseveria,Wed Apr 10 10:02:10 2024
551.0,15.7,43.0,82.0,Sanseveria,Wed Apr 10 10:02:11 2024
551.0,15.7,43.0,82.0,Sanseveria,Wed Apr 10 10:02:12 2024
551.0,15.7,43.0,82.0,Sanseveria,Wed Apr 10 10:02:12 2024
551.0,15.7,43.0,82.0,Sanseveria,Wed Apr 10 10:02:13 2024
Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
612.0,18.2,57.0,71.0,Sanseveria,Wed Apr 10 10:03:47 2024
613.0,18.6,57.0,71.0,Sanseveria,Wed Apr 10 10:03:47 2024
612.0,18.6,57.0,71.0,Sanseveria,Wed Apr 10 10:03:48 2024
613.0,19.0,57.0,71.0,Sanseveria,Wed Apr 10 10:03:48 2024
613.0,19.0,58.0,71.0,Sanseveria,Wed Apr 10 10:03:49 2024
613.0,19.0,58.0,71.0,Sanseveria,Wed Apr 10 10:03:50 2024
613.0,19.0,58.0,71.0,Sanseveria,Wed Apr 10 10:03:50 2024
614.0,19.0,58.0,71.0,Sanseveria,Wed Apr 10 10:03:51 2024
613.0,19.4,58.0,71.0,Sanseveria,Wed Apr 10 10:03:51 2024
614.0,19.4,58.0,71.0,Sanseveria,Wed Apr 10 10:03:52 2024
614.0,19.4,58.0,71.0,Sanseveria,Wed Apr 10 10:03:52 2024
614.0,19.4,58.0,71.0,Sanseveria,Wed Apr 10 10:03:53 2024
614.0,19.8,58.0,71.0,Sanseveria,Wed Apr 10 10:03:53 2024
614.0,19.8,58.0,72.0,Sanseveria,Wed Apr 10 10:03:54 2024
613.0,19.8,58.0,72.0,Sanseveria,Wed Apr 10 10:03:54 2024
613.0,19.8,58.0,72.0,Sanseveria,Wed Apr 10 10:03:55 2024
613.0,19.8,58.0,72.0,Sanseveria,Wed Apr 10 10:03:55 2024
613.0,20.2,58.0,72.0,Sanseveria,Wed Apr 10 10:03:56 2024
613.0,20.2,59.0,72.0,Sanseveria,Wed Apr 10 10:03:56 2024
613.0,20.2,59.0,71.0,Sanseveria,Wed Apr 10 10:03:57 2024
614.0,20.2,59.0,71.0,Sanseveria,Wed Apr 10 10:03:57 2024
613.0,20.4,59.0,71.0,Sanseveria,Wed Apr 10 10:03:58 2024
602.0,20.6,59.0,71.0,Sanseveria,Wed Apr 10 10:03:58 2024
575.0,20.6,59.0,71.0,Sanseveria,Wed Apr 10 10:03:59 2024
606.0,20.6,59.0,71.0,Sanseveria,Wed Apr 10 10:03:59 2024
618.0,20.6,59.0,71.0,Sanseveria,Wed Apr 10 10:04:00 2024
622.0,21.0,58.0,71.0,Sanseveria,Wed Apr 10 10:04:01 2024
626.0,21.0,58.0,71.0,Sanseveria,Wed Apr 10 10:04:01 2024
630.0,21.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:02 2024
634.0,21.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:02 2024
639.0,21.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:03 2024
644.0,21.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:03 2024
649.0,21.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:04 2024
655.0,21.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:04 2024
660.0,21.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:05 2024
668.0,21.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:05 2024
676.0,21.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:06 2024
682.0,21.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:06 2024
687.0,21.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:07 2024
691.0,21.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:07 2024
693.0,21.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:08 2024
695.0,22.2,58.0,70.0,Sanseveria,Wed Apr 10 10:04:08 2024
695.0,22.2,58.0,71.0,Sanseveria,Wed Apr 10 10:04:09 2024
